target,query,size,data_dependencies,max_depth,keyword_count,union_count,all_count,optional_count,match_count,foreach_count,unwind_count,as_count,merge_count,on_count,create_count,set_count,detach_count,delete_count,remove_count,call_count,yield_count,with_count,return_count,distinct_count,order_count,by_count,l_skip_count,limit_count,ascending_count,asc_count,descending_count,desc_count,where_count,or_count,xor_count,and_count,not_count,starts_count,ends_count,contains_count,in_count,is_count,null_count,count_count,case_count,else_count,end_count,when_count,then_count,any_count,none_count,single_count,exists_count,true_count,false_count,target
falkordb,"MERGE ()-[:C]->(:A) MERGE (:A:B) CREATE ()-[:C]->()-[:C]->() RETURN 0 AS n0 UNION MATCH (:A) RETURN 0 AS n0",107,5,1,9,1,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"MATCH (x) CALL { WITH * MATCH ({n0:x.n1}), (:A)  MERGE () }",59,1,2,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"CREATE (:A) RETURN 0 AS n0 UNION ALL FOREACH (n1 IN [] | MERGE () ) MERGE (:A) RETURN 0 AS n0",93,2,2,11,1,1,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
neo4j,"FOREACH (n0 IN [] | FOREACH ( x IN [] | SET x = {} ) ) RETURN 0 AS n1 UNION CALL { FOREACH ( n2 IN [] | FOREACH ( n3 IN [] | MERGE () ) ) } MATCH (y) RETURN y AS n1 UNION CREATE () RETURN 0 AS n1",195,4,4,21,2,0,0,1,4,0,3,1,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
falkordb,"CREATE ()<-[:A]-() RETURN 0 AS n0 UNION CALL { RETURN 0 AS n1 } MATCH () CALL { CREATE () RETURN 0 AS n2 SKIP 1 } RETURN 1 AS n0",128,1,2,15,1,0,0,1,0,0,4,0,0,2,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
falkordb,"CALL { CREATE (x) RETURN x AS y } CALL { WITH y CALL { CALL { MERGE () RETURN 0 AS n0 } RETURN 0 AS n1 } RETURN 0 AS n2 } RETURN 0",130,2,4,16,0,0,0,0,0,0,4,1,0,1,0,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neo4j,"WITH * LIMIT 1 CALL { WITH null AS a0, [a1 IN collect(null) ] AS a2, null AS a3 RETURN 0 AS a4 } MERGE ()",105,0,3,14,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"WITH [0] AS n0 UNWIND [0, 0] AS n1 WITH * UNWIND [0, 0] AS n2 MERGE ({n3:0})",76,0,1,8,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"MERGE () WITH * FOREACH ( n0 IN [] | MERGE () ) WITH * MATCH ()--() RETURN 0",76,0,2,8,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"FOREACH ( n0 IN [] | CREATE () ) RETURN toLower(replace(""�"", """", CASE WHEN true THEN ""   ""+CASE "" "" WHEN rtrim(null) THEN 0 ELSE 0 END END))",140,0,2,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,2,2,0,0,0,0,1,0,0
falkordb,"MERGE ()-[:A]->() WITH * MATCH (x) MERGE ()-[:B]->() ON MATCH SET x = {}",72,1,1,7,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neo4j,"FOREACH (n0 IN [] | CREATE (x) ) MERGE ()<-[x:A]-()<-[:A]->()",61,2,2,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falkordb,"CALL { WITH null AS x MATCH (:A), (y) MATCH ({n0:(x=y)}) RETURN 0 AS n1 } RETURN 0",82,2,2,9,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
neo4j,"OPTIONAL MATCH ({n0:0, n1:0})        RETURN max(0) AS n2, localdatetime('2015185T19:32:24') AS n3 ORDER BY localdatetime('2015185T19:32:24')",140,0,1,7,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
neo4j,"                          CALL { UNWIND 0 AS n0 RETURN 0 AS n1 } WITH * ORDER BY 0 RETURN collect(0) AS n2, EXISTS { RETURN 0 AS n3 } AS n4",139,0,2,14,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
redisgraph,"RETURN (-1 IS NULL)",19,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
redisgraph,"CREATE (x) DELETE x CREATE (x)<-[:A]-(x)",40,3,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neo4j,"UNWIND [0]+[] AS i RETURN toBoolean(i)",38,1,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
memgraph,"MATCH ({n0:0, x:(CASE WHEN toBoolean(ltrim(""""+"""")) THEN null END).x}), () RETURN 0",82,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
