query,size,data_dependencies,max_depth,keyword_count,union_count,all_count,optional_count,match_count,foreach_count,unwind_count,as_count,merge_count,on_count,create_count,set_count,detach_count,delete_count,remove_count,call_count,yield_count,with_count,return_count,distinct_count,order_count,by_count,l_skip_count,limit_count,ascending_count,asc_count,descending_count,desc_count,where_count,or_count,xor_count,and_count,not_count,starts_count,ends_count,contains_count,in_count,is_count,null_count,count_count,case_count,else_count,end_count,when_count,then_count,any_count,none_count,single_count,exists_count,true_count,false_count
RETURN 0 AS x UNION RETURN COUNT(0) AS x,40,1,1,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CREATE (x) SET x.n0 = (true OR true),36,1,1,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
RETURN (CASE WHEN true THEN (true AND true) END),48,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,0
RETURN null ORDER BY properties(CASE WHEN null THEN null END),61,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0
CREATE (x) CREATE ()-[:A{n1:size([n2 IN [n3 IN [0] | x.n4] | 0])}]->()-[y:B]->() DELETE y,89,2,1,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERGE n0 = (:A)-[:B{n1:0}]->(x:C)-[:D]->(x)-[:E]->(x)<-[:F{n2:0}]-(:G{n3:0})-[:H{n4:0}]->(y:I{n5:0})<-[:J]-(y)<-[:K]-(:L{n6:0}),127,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MATCH (x)-->({n0:EXISTS { WITH toBoolean(sum(0)) AS n2, x AS n3 RETURN 0 }}) RETURN 0",85,1,2,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UNWIND [0] AS n0 CALL { RETURN min(0) AS n1 ORDER BY COUNT { () } } RETURN 0,76,0,3,9,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CREATE (n) RETURN reverse(toStringOrNull(n)),44,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATCH (n) SET n._1 = 0,22,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL { WITH [COUNT { () }] AS n0 RETURN 0 AS n1 } RETURN 0 AS n2,64,0,3,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CALL { CREATE ()-[:A]->() } MATCH ()-[:(B & C)]->(:!(D & E)) RETURN 0,69,0,2,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERGE () MERGE n0 = (),22,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITH 0 AS x MATCH () UNWIND 0 AS y MATCH ({n0:(CASE y WHEN x THEN 0 END)}) RETURN 0,83,2,1,11,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
MERGE ()-[:A]->({x:0}) RETURN EXISTS { (:!(B&C))-[{x:0}]->() },62,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RETURN 1 % toInteger(""A"")",25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RETURN pi()^0,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREATE () WITH * MATCH (x{n0:x.n1}) RETURN 0,44,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UNWIND [0, 0, 0] AS n0 WITH [0] AS n1 ORDER BY 0 OPTIONAL MATCH () MERGE ()-[:A]->()-[:B]->()",93,0,1,9,0,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CREATE ()-[m:A]->(), ({t:type(m)})",34,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WITH 0 AS n1 ORDER BY n1 MATCH () WHERE false WITH CASE 0 WHEN n1 THEN 0 END AS n3 ORDER BY n3 RETURN 0,103,3,1,16,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
RETURN toBooleanOrNull(startNode(null)),39,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
